cst_id,cst_key,cst_firstname,cst_lastname,cst_gender,cst_marital_status,cst_nid,cst_phone,cst_create_date
1001,CBS-C-1001,Rahim, Ahmed,M,S,1990123456789,01711234567,2023-01-10
1002,CBS-C-1002,Karim,Hassan ,Male,M,1985234567890,01812345678,2023-01-15
1003,CBS-C-1003,Nadia,  Islam,F,S,1992345678901,01913456789,2023-02-01
1004,CBS-C-1004,Sadia,Begum,Female,M,1988456789012,01614567890,2023-02-14
1005,CBS-C-1005,Tanvir, Hossain,M,S,1995567890123,01715678901,2023-03-05
1006,CBS-C-1006,Farhan,Akter ,Male,M,1979678901234,01816789012,2023-03-20
1007,CBS-C-1007,Mitu,Rahman,F,S,2000789012345,01917890123,2023-04-11
1008,CBS-C-1008,Rasel,  Khan,M,M,1983890123456,01618901234,2023-04-25
1009,CBS-C-1009,Lima,Chowdhury,Female,S,1997901234567,01719012345,2023-05-08
1010,CBS-C-1010,Arif,Mahmud,M,M,1991012345678,01820123456,2023-05-22
1001,CBS-C-1001,Rahim, Ahmed,M,S,1990123456789,01711234567,2023-01-10
